n,tiempo_greedy,tiempo_backtrack,colores_greedy,colores_bt,timeout
5,0.000005300,0.000001500,2,2,false
8,0.000007800,0.000009600,3,3,false
10,0.000015700,0.000022600,4,4,false
12,0.000010600,0.000035300,4,4,false
15,0.000016000,0.000167800,6,4,false
18,0.000030500,0.002380400,5,5,false
20,0.000023500,0.001699300,6,5,false
25,0.000040800,3.624543800,7,6,false
30,0.000059500,20.761815900,7,6,false
35,0.000060800,526.922250900,7,-1,true
